correlation,cpu_duration,gpu_duration,launch_delay
7199,2.0,0.0,3.0
7207,3.0,1.0,3.0
7217,2.0,1.0,4.0
7231,2.0,0.0,4.0
7243,3.0,1.0,3.0
7255,3.0,0.0,3.0
7266,2.0,1.0,3.0
7274,4.0,0.0,3.0
7284,2.0,0.0,4.0
7297,3.0,0.0,3.0
7309,2.0,0.0,4.0
7325,5.0,1.0,3.0
7357,3.0,0.0,3.0
7369,2.0,1.0,3.0
7385,2.0,0.0,4.0
7399,4.0,0.0,3.0
7417,3.0,1.0,3.0
7446,4.0,1.0,3.0
7456,6.0,1.0,3.0
7466,3.0,1.0,3.0
7488,3.0,1.0,3.0
7502,3.0,1.0,3.0
7513,2.0,0.0,4.0
7531,3.0,0.0,3.0
7542,4.0,0.0,2.0
7553,3.0,0.0,3.0
7564,4.0,0.0,4.0
7572,3.0,1.0,3.0
7582,2.0,0.0,4.0
7596,2.0,0.0,4.0
7608,2.0,0.0,4.0
7620,3.0,1.0,3.0
7631,2.0,1.0,3.0
7639,2.0,1.0,4.0
7649,4.0,1.0,3.0
7662,2.0,0.0,4.0
7674,3.0,1.0,3.0
7690,2.0,1.0,4.0
7722,4.0,0.0,2.0
7734,3.0,1.0,3.0
7750,3.0,1.0,3.0
7764,3.0,0.0,4.0
7782,2.0,0.0,4.0
7811,3.0,1.0,4.0
7821,3.0,1.0,4.0
7831,3.0,1.0,3.0
7853,3.0,1.0,3.0
7867,2.0,1.0,3.0
7878,3.0,0.0,4.0
7896,3.0,0.0,4.0
7907,3.0,0.0,4.0
7918,3.0,1.0,3.0
7929,4.0,0.0,3.0
7937,5.0,1.0,2.0
7947,3.0,2.0,3.0
7961,4.0,0.0,3.0
7973,3.0,0.0,3.0
7985,2.0,0.0,4.0
7996,3.0,0.0,4.0
8004,3.0,2.0,3.0
8014,3.0,2.0,3.0
8027,3.0,0.0,3.0
8039,3.0,1.0,3.0
8055,17.0,2.0,0.0
8087,3.0,0.0,3.0
8099,4.0,1.0,3.0
8115,3.0,1.0,3.0
8129,4.0,0.0,3.0
8147,3.0,1.0,3.0
8176,4.0,2.0,3.0
8186,5.0,3.0,3.0
8196,3.0,2.0,4.0
8218,5.0,1.0,3.0
8232,3.0,2.0,3.0
8243,3.0,0.0,4.0
8261,3.0,0.0,3.0
8272,3.0,1.0,3.0
8283,3.0,0.0,3.0
8294,3.0,1.0,3.0
8302,3.0,2.0,4.0
8312,2.0,2.0,4.0
8326,3.0,1.0,3.0
8338,4.0,1.0,2.0
8350,4.0,1.0,3.0
8361,3.0,1.0,3.0
