correlation,cpu_duration,gpu_duration,launch_delay
9586,3.0,2.0,22.0
9589,2.0,2.0,22.0
9592,2.0,12.0,22.0
9595,3.0,1.0,32.0
9598,2.0,2.0,31.0
9601,2.0,13.0,31.0
9604,2.0,2.0,42.0
9607,3.0,1.0,40.0
9631,3.0,0.0,29.0
9638,3.0,3.0,23.0
9665,2.0,0.0,16.0
9672,3.0,2.0,12.0
9678,4.0,5.0,8.0
9696,14.0,0.0,2.0
9703,5.0,0.0,3.0
9715,2.0,0.0,3.0
9717,6.0,0.0,3.0
9726,4.0,2.0,3.0
9731,4.0,0.0,4.0
9735,2.0,0.0,4.0
9738,5.0,6.0,3.0
9742,1.0,0.0,9.0
9745,2.0,6.0,8.0
9749,0.0,0.0,14.0
9752,3.0,7.0,11.0
9756,0.0,0.0,19.0
9759,3.0,6.0,16.0
9772,4.0,4.0,3.0
9777,5.0,0.0,3.0
9782,4.0,0.0,4.0
9796,4.0,0.0,3.0
9810,4.0,4.0,3.0
9824,3.0,3.0,3.0
9838,4.0,4.0,3.0
9851,4.0,1.0,3.0
9862,3.0,1.0,3.0
9873,5.0,0.0,3.0
9884,4.0,1.0,3.0
9895,3.0,0.0,3.0
9906,3.0,0.0,3.0
9917,3.0,6.0,3.0
9928,3.0,2.0,3.0
9939,2.0,5.0,4.0
9950,3.0,2.0,3.0
9961,3.0,0.0,3.0
9972,3.0,4.0,4.0
9983,3.0,2.0,3.0
9994,3.0,4.0,3.0
10005,3.0,1.0,3.0
10016,3.0,0.0,3.0
10027,3.0,1.0,3.0
10038,2.0,0.0,4.0
10049,3.0,1.0,3.0
10060,3.0,0.0,3.0
10078,48.0,0.0,2.0
10089,5.0,1.0,3.0
10100,4.0,0.0,3.0
10111,4.0,1.0,3.0
10122,2.0,0.0,4.0
10137,6.0,1.0,2.0
10154,4.0,2.0,3.0
10182,17.0,0.0,0.0
10184,13.0,9.0,1.0
10210,5.0,0.0,3.0
10220,4.0,4.0,3.0
10229,4.0,0.0,5.0
10231,4.0,8.0,3.0
10238,11.0,7.0,2.0
10244,11.0,8.0,3.0
10298,4.0,0.0,3.0
10300,2.0,0.0,4.0
10302,3.0,16.0,3.0
10304,3.0,1.0,16.0
10306,3.0,5.0,14.0
10318,3.0,0.0,12.0
10320,3.0,0.0,9.0
10328,3.0,5.0,3.0
10332,3.0,0.0,5.0
10336,2.0,1.0,3.0
10338,3.0,13.0,4.0
10342,3.0,0.0,14.0
10344,3.0,14.0,12.0
10348,2.0,0.0,24.0
10350,2.0,12.0,22.0
10354,2.0,0.0,32.0
10356,2.0,12.0,30.0
10360,3.0,0.0,39.0
10362,2.0,9.0,37.0
10366,2.0,0.0,45.0
10368,2.0,9.0,43.0
10372,2.0,0.0,50.0
10374,2.0,9.0,48.0
10378,3.0,0.0,54.0
10380,2.0,9.0,53.0
10386,14.0,3.0,47.0
10388,3.0,3.0,47.0
10390,2.0,24.0,48.0
10392,2.0,1.0,70.0
10394,2.0,363.0,70.0
10396,3.0,47.0,431.0
10416,4.0,0.0,463.0
10419,3.0,10.0,460.0
10445,2.0,0.0,461.0
10455,2.0,4.0,456.0
10464,3.0,1.0,455.0
10466,3.0,8.0,454.0
10469,2.0,2.0,460.0
10471,4.0,1153.0,459.0
10520,11.0,0.0,20935.0
10537,4.0,-1.0,20910.0
10565,10.0,0.0,20726.0
10567,6.0,9.0,20720.0
10593,5.0,0.0,20716.0
10603,3.0,4.0,20710.0
10612,3.0,0.0,20708.0
10614,3.0,8.0,20706.0
10621,9.0,7.0,20705.0
10627,3.0,7.0,20708.0
10681,3.0,0.0,20690.0
10683,3.0,0.0,20688.0
10685,2.0,16.0,20687.0
10687,3.0,0.0,20701.0
10689,5.0,5.0,20696.0
10701,1.0,0.0,20698.0
10703,3.0,0.0,20695.0
10711,3.0,5.0,20689.0
10715,2.0,0.0,20692.0
10719,2.0,0.0,20689.0
10721,3.0,13.0,20687.0
10725,2.0,1.0,20699.0
10727,5.0,13.0,20695.0
10731,2.0,0.0,20706.0
10733,2.0,12.0,20704.0
10737,3.0,0.0,20714.0
10739,2.0,11.0,20713.0
10743,2.0,0.0,20722.0
10745,3.0,9.0,20720.0
10749,2.0,0.0,20727.0
10751,3.0,9.0,20724.0
10755,3.0,0.0,20730.0
10757,2.0,9.0,20729.0
10761,2.0,0.0,20737.0
10763,2.0,8.0,20735.0
10769,10.0,4.0,20732.0
10771,3.0,2.0,20733.0
10773,2.0,24.0,20733.0
10775,2.0,1.0,20756.0
10777,2.0,365.0,20756.0
10779,2.0,46.0,21121.0
10799,3.0,-1.0,21156.0
10802,2.0,11.0,21153.0
10828,2.0,0.0,21155.0
10838,3.0,5.0,21151.0
10847,2.0,0.0,21152.0
10849,3.0,9.0,21150.0
10852,3.0,2.0,21157.0
10854,4.0,1154.0,21157.0
10899,8.0,1.0,32472.0
10910,4.0,1.0,32456.0
10927,23.0,3.0,31487.0
10938,8.0,1.0,31442.0
10949,4.0,0.0,31421.0
10960,4.0,3.0,31402.0
10971,4.0,2.0,31386.0
10999,15.0,0.0,30095.0
11020,4.0,0.0,30057.0
11024,30122.0,1.0,0.0
11036,8.0,-1.0,3.0
11038,1.0,0.0,3.0
11046,14.0,2.0,0.0
11050,14.0,0.0,4.0
11054,10.0,0.0,1.0
11056,72.0,11.0,3.0
11060,4.0,0.0,9.0
11062,2.0,11.0,7.0
11066,3.0,0.0,15.0
11068,4.0,10.0,11.0
11072,3.0,0.0,18.0
11074,2.0,8.0,16.0
11080,3.0,2.0,19.0
11082,2.0,2.0,21.0
11084,15.0,1.0,13.0
11086,8.0,-1.0,7.0
11100,8.0,1.0,2.0
11115,32.0,22.0,1.0
11130,6.0,0.0,3.0
11158,5.0,61.0,3.0
11203,1616.0,1.0,0.0
11218,7.0,0.0,3.0
11233,4.0,99.0,3.0
11347,17.0,0.0,2.0
11360,773.0,23.0,0.0
11374,13.0,1.0,1.0
11389,4.0,0.0,3.0
11417,11.0,-1.0,2.0
11428,12.0,9.0,2.0
11442,6.0,1.0,3.0
11457,9.0,1.0,3.0
11475,47.0,2.0,1.0
11497,8.0,-1.0,3.0
11510,544.0,0.0,0.0
11524,17.0,1.0,0.0
11539,4.0,0.0,3.0
12259,23.0,0.0,2.0
12261,2.0,1.0,3.0
13001,197.0,25.0,0.0
13012,55.0,9.0,1.0
13023,27.0,5.0,0.0
13054,365.0,11.0,0.0
13068,13.0,1.0,1.0
13083,5.0,1.0,2.0
13103,7.0,1.0,2.0
13256,64.0,8.0,0.0
13266,9.0,4.0,1.0
13277,8.0,2.0,2.0
13310,10.0,4.0,2.0
13324,8.0,1.0,2.0
13339,4.0,0.0,3.0
13359,5.0,2.0,2.0
13512,133.0,6.0,0.0
13522,9.0,2.0,2.0
13533,11.0,1.0,2.0
13562,6.0,4.0,2.0
13576,6.0,0.0,3.0
13591,4.0,0.0,3.0
13611,4.0,2.0,3.0
13780,20.0,6.0,0.0
13790,11.0,2.0,1.0
13801,9.0,0.0,2.0
13815,7.0,0.0,2.0
13830,4.0,1.0,3.0
13850,4.0,1.0,3.0
14002,23.0,13.0,0.0
14012,10.0,1.0,2.0
14023,4.0,1.0,3.0
14038,76.0,2.0,0.0
14066,25.0,0.0,3.0
14076,402.0,2.0,0.0
14081,6.0,1.0,2.0
14100,9.0,1.0,2.0
14109,86.0,2.0,3.0
14126,5.0,1.0,2.0
14141,4.0,0.0,3.0
14156,4.0,1.0,2.0
14176,4.0,1.0,3.0
14328,21.0,13.0,0.0
14338,11.0,2.0,1.0
14349,6.0,0.0,2.0
14363,6.0,2.0,3.0
14390,4.0,1.0,3.0
14398,4.0,7.0,3.0
14403,5.0,1.0,4.0
14418,4.0,2.0,3.0
14426,4.0,2.0,3.0
14443,4.0,0.0,4.0
14458,4.0,0.0,3.0
14473,4.0,1.0,3.0
14493,4.0,1.0,2.0
14521,896.0,1.0,0.0
14527,235.0,143.0,0.0
14537,9.0,2.0,49.0
14548,7.0,0.0,3.0
14562,5.0,2.0,3.0
14575,5.0,7.0,3.0
14585,23.0,1.0,0.0
14592,4.0,3.0,3.0
14609,6.0,1.0,2.0
14624,4.0,0.0,3.0
14639,4.0,1.0,3.0
14667,11.0,166.0,1.0
14677,7.0,2.0,120.0
14688,6.0,1.0,72.0
14702,4.0,0.0,17.0
14717,4.0,0.0,3.0
